Rio de Janeiro, 12:00, 16/02/2025, 1
Rio de Janeiro, 12:00, 16/02/2025, 2
Rio de Janeiro, 12:00, 16/02/2025, 3
Rio de Janeiro, 12:00, 16/02/2025, 4
Rio de Janeiro, 12:00, 16/02/2025, 5
Rio de Janeiro, 12:00, 16/02/2025, 6
Rio de Janeiro, 12:00, 16/02/2025, 7
Rio de Janeiro, 12:00, 16/02/2025, 8
Rio de Janeiro, 12:00, 16/02/2025, 9
Rio de Janeiro, 12:00, 17/02/2025, 1
Rio de Janeiro, 12:00, 17/02/2025, 2
Rio de Janeiro, 12:00, 17/02/2025, 3
Rio de Janeiro, 12:00, 17/02/2025, 4
Rio de Janeiro, 12:00, 17/02/2025, 5
Rio de Janeiro, 12:00, 17/02/2025, 6
Rio de Janeiro, 12:00, 17/02/2025, 7
Rio de Janeiro, 12:00, 17/02/2025, 8
Rio de Janeiro, 12:00, 17/02/2025, 9
Rio de Janeiro, 12:00, 17/02/2025, 10
Rio de Janeiro, 12:00, 17/02/2025, 11
Rio de Janeiro, 12:00, 17/02/2025, 12
Rio de Janeiro, 12:00, 17/02/2025, 13
Rio de Janeiro, 12:00, 17/02/2025, 14
Rio de Janeiro, 12:00, 17/02/2025, 15
Rio de Janeiro, 12:00, 17/02/2025, 16
Rio de Janeiro, 12:00, 18/02/2025, 1
Rio de Janeiro, 12:00, 18/02/2025, 2
Rio de Janeiro, 12:00, 18/02/2025, 3
Rio de Janeiro, 12:00, 18/02/2025, 4
Rio de Janeiro, 12:00, 18/02/2025, 5
Rio de Janeiro, 12:00, 18/02/2025, 6
Rio de Janeiro, 12:00, 18/02/2025, 7
Rio de Janeiro, 12:00, 18/02/2025, 8
Rio de Janeiro, 12:00, 18/02/2025, 9
Rio de Janeiro, 12:00, 18/02/2025, 10
Rio de Janeiro, 12:00, 18/02/2025, 11
Rio de Janeiro, 12:00, 18/02/2025, 12
Rio de Janeiro, 12:00, 19/02/2025, 1
Rio de Janeiro, 12:00, 19/02/2025, 2
Rio de Janeiro, 12:00, 19/02/2025, 3
Rio de Janeiro, 12:00, 19/02/2025, 4
Rio de Janeiro, 12:00, 19/02/2025, 5
Rio de Janeiro, 12:00, 19/02/2025, 6
Rio de Janeiro, 12:00, 19/02/2025, 7
Rio de Janeiro, 12:00, 19/02/2025, 8
Rio de Janeiro, 12:00, 19/02/2025, 9
Rio de Janeiro, 12:00, 19/02/2025, 10
Rio de Janeiro, 12:00, 19/02/2025, 11
Rio de Janeiro, 12:00, 19/02/2025, 12
Rio de Janeiro, 12:00, 19/02/2025, 13
Rio de Janeiro, 12:00, 19/02/2025, 14
Rio de Janeiro, 12:00, 19/02/2025, 15
Rio de Janeiro, 12:00, 19/02/2025, 16
Rio de Janeiro, 12:00, 19/02/2025, 17
Rio de Janeiro, 12:00, 19/02/2025, 18
Rio de Janeiro, 12:00, 19/02/2025, 19
Rio de Janeiro, 12:00, 20/02/2025, 1
Rio de Janeiro, 12:00, 20/02/2025, 2
Rio de Janeiro, 12:00, 20/02/2025, 3
Rio de Janeiro, 12:00, 20/02/2025, 4
Rio de Janeiro, 12:00, 20/02/2025, 5
Rio de Janeiro, 12:00, 20/02/2025, 6
Rio de Janeiro, 12:00, 20/02/2025, 7
Rio de Janeiro, 12:00, 20/02/2025, 8
Rio de Janeiro, 12:00, 20/02/2025, 9
Rio de Janeiro, 12:00, 20/02/2025, 10
Rio de Janeiro, 12:00, 20/02/2025, 11
Rio de Janeiro, 12:00, 20/02/2025, 12
Rio de Janeiro, 12:00, 20/02/2025, 13
Rio de Janeiro, 12:00, 20/02/2025, 14
Rio de Janeiro, 12:00, 20/02/2025, 15
Rio de Janeiro, 12:00, 20/02/2025, 16
Rio de Janeiro, 12:00, 20/02/2025, 17
Rio de Janeiro, 12:00, 21/02/2025, 1
Rio de Janeiro, 12:00, 21/02/2025, 1
Rio de Janeiro, 12:00, 21/02/2025, 2
Rio de Janeiro, 12:00, 21/02/2025, 3
Rio de Janeiro, 12:00, 21/02/2025, 4
Rio de Janeiro, 12:00, 21/02/2025, 5
Rio de Janeiro, 12:00, 21/02/2025, 6
Rio de Janeiro, 12:00, 21/02/2025, 7
Rio de Janeiro, 12:00, 21/02/2025, 8
Rio de Janeiro, 12:00, 21/02/2025, 9
Rio de Janeiro, 12:00, 21/02/2025, 10
Rio de Janeiro, 12:00, 21/02/2025, 11
Rio de Janeiro, 12:00, 21/02/2025, 12
Rio de Janeiro, 12:00, 21/02/2025, 13
Rio de Janeiro, 12:00, 22/02/2025, 14
Rio de Janeiro, 12:00, 22/02/2025, 15
Rio de Janeiro, 12:00, 22/02/2025, 16
Rio de Janeiro, 12:00, 22/02/2025, 17
Rio de Janeiro, 12:00, 22/02/2025, 18
Rio de Janeiro, 12:00, 22/02/2025, 19
Rio de Janeiro, 12:00, 22/02/2025, 10
Rio de Janeiro, 12:00, 22/02/2025, 21
Rio de Janeiro, 12:00, 22/02/2025, 1
Rio de Janeiro, 12:00, 22/02/2025, 2
Rio de Janeiro, 12:00, 22/02/2025, 3
Rio de Janeiro, 25:00, 22/02/2025, 4
Rio de Fevereiro, 12:00, 22/02/2025, 4
